,index,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
0,2306,A1,2013,9750,Manual,29773,Petrol,125,52.3,1.4,Audi
1,5549,A3,2017,18900,Manual,10950,Petrol,150,54.3,1.5,Audi
2,10483,A3,2019,21000,Manual,3000,Diesel,145,52.3,1.6,Audi
3,4504,Q5,2019,31490,Automatic,6000,Diesel,145,39.2,2.0,Audi
4,779,A5,2015,14998,Manual,32125,Diesel,125,57.6,2.0,Audi
5,7528,A5,2019,28995,Automatic,4199,Petrol,145,39.8,2.0,Audi
6,1738,A3,2014,10998,Manual,53664,Petrol,30,57.6,1.2,Audi
7,4257,A4,2017,25000,Semi-Auto,26846,Diesel,150,56.5,2.0,Audi
8,7181,A6,2019,28800,Automatic,3545,Diesel,145,47.9,2.0,Audi
9,1263,A4,2016,20698,Semi-Auto,30374,Diesel,145,56.5,2.0,Audi
10,7444,A4,2018,22900,Semi-Auto,16000,Petrol,150,42.8,2.0,Audi
11,8881,TT,2015,13500,Manual,64850,Petrol,145,47.9,2.0,Audi
12,8853,A3,2016,12500,Manual,26012,Petrol,20,61.4,1.4,Audi
13,7812,Q5,2017,27995,Automatic,14475,Diesel,145,40.4,2.0,Audi
14,778,Q2,2019,25998,Semi-Auto,17,Diesel,145,46.3,2.0,Audi
15,561,Q3,2016,15998,Manual,15264,Diesel,30,61.4,2.0,Audi
16,4298,A4,2018,17495,Semi-Auto,9296,Petrol,150,53.3,1.4,Audi
17,5364,Q5,2019,32576,Semi-Auto,6024,Diesel,145,38.2,2.0,Audi
18,6895,A4,2019,44750,Semi-Auto,500,Diesel,145,40.9,3.0,Audi
19,8516,Q3,2019,27950,Manual,121,Diesel,145,42.8,2.0,Audi
20,6017,Q3,2016,14900,Manual,45202,Petrol,125,50.4,1.4,Audi
21,8589,TT,2015,15000,Manual,36343,Diesel,20,67.3,2.0,Audi
22,4331,A5,2020,27495,Semi-Auto,4951,Diesel,145,51.4,2.0,Audi
23,9898,A4,2011,6895,Manual,103000,Diesel,165,50.4,2.0,Audi
24,2234,Q2,2017,20750,Semi-Auto,15709,Petrol,125,52.3,1.4,Audi
25,5384,A4,2019,27160,Semi-Auto,17790,Diesel,145,47.9,2.0,Audi
26,6831,A3,2019,22950,Semi-Auto,6540,Diesel,145,53.3,1.6,Audi
27,1315,A6,2016,18998,Manual,35000,Diesel,30,61.4,2.0,Audi
28,6991,A5,2017,27500,Semi-Auto,33031,Petrol,235,37.7,3.0,Audi
29,8437,A5,2017,26430,Automatic,26785,Petrol,240,38.2,3.0,Audi
30,2753,Q3,2016,20000,Semi-Auto,20160,Diesel,160,50.4,2.0,Audi
31,7214,A6,2014,17490,Semi-Auto,64330,Diesel,200,47.9,3.0,Audi
32,479,Q5,2016,33995,Semi-Auto,23478,Diesel,235,42.2,3.0,Audi
33,10393,A3,2019,18590,Manual,3735,Diesel,145,51.4,1.6,Audi
34,9396,Q5,2017,28990,Automatic,12659,Diesel,145,55.4,2.0,Audi
35,3786,TT,2019,27500,Manual,6200,Petrol,145,38.2,2.0,Audi
36,1394,A1,2016,12298,Manual,30001,Petrol,30,56.5,1.4,Audi
37,9946,A1,2019,23000,Automatic,4846,Petrol,150,44.8,1.5,Audi
38,9377,A5,2018,23990,Automatic,20500,Petrol,145,50.4,2.0,Audi
39,3410,Q5,2015,18995,Manual,29987,Petrol,260,36.2,2.0,Audi
40,2997,A3,2017,23671,Semi-Auto,24260,Petrol,150,43.5,2.0,Audi
41,1951,A4,2019,34950,Manual,5800,Petrol,145,39.2,2.0,Audi
42,4552,Q3,2019,27000,Manual,5999,Petrol,145,40.9,1.5,Audi
43,5188,A1,2016,13990,Manual,32371,Petrol,30,55.4,1.4,Audi
44,10006,A3,2015,8500,Manual,89060,Diesel,30,67.3,2.0,Audi
45,795,A6,2016,17498,Semi-Auto,24405,Diesel,20,64.2,2.0,Audi
46,9588,Q3,2019,27950,Manual,2506,Petrol,145,40.9,1.5,Audi
47,2517,Q5,2015,18465,Semi-Auto,33656,Diesel,205,47.1,2.0,Audi
48,6537,A3,2019,24444,Semi-Auto,3140,Diesel,145,51.4,2.0,Audi
49,9549,Q3,2019,29995,Manual,10,Petrol,145,39.8,1.5,Audi
50,10426,A3,2013,9789,Manual,65000,Diesel,20,68.9,2.0,Audi
51,34,Q3,2016,16900,Automatic,40501,Diesel,150,51.4,2.0,Audi
52,7614,Q2,2020,24888,Manual,4000,Petrol,145,43.5,1.5,Audi
53,8420,Q8,2019,82930,Automatic,9641,Diesel,150,30.7,4.0,Audi
54,3981,A5,2017,22990,Automatic,28500,Diesel,145,65.7,2.0,Audi
55,8771,A3,2017,17000,Manual,30804,Petrol,30,60.1,1.4,Audi
56,10583,Q7,2015,28000,Automatic,37000,Diesel,200,47.9,3.0,Audi
57,3881,Q3,2016,15590,Manual,46113,Diesel,145,55.4,2.0,Audi
58,4736,Q7,2019,48266,Automatic,7511,Diesel,145,32.8,3.0,Audi
59,6401,Q3,2019,25750,Manual,5000,Petrol,145,40.9,1.5,Audi
60,9585,Q7,2020,60950,Automatic,2402,Diesel,145,33.2,3.0,Audi
61,8802,A1,2013,9000,Manual,49826,Petrol,30,55.4,1.2,Audi
62,2356,A5,2019,26950,Semi-Auto,2029,Diesel,150,51.4,2.0,Audi
63,4928,Q3,2019,26990,Manual,3000,Petrol,145,39.8,1.5,Audi
64,3702,A3,2017,11999,Semi-Auto,59000,Diesel,0,74.3,1.6,Audi
65,7870,Q5,2019,35000,Automatic,6700,Diesel,150,38.2,2.0,Audi
66,6913,A5,2019,31399,Automatic,2500,Diesel,145,47.1,2.0,Audi
67,6992,A3,2017,14550,Manual,17372,Diesel,20,70.6,1.6,Audi
68,10057,Q3,2019,26250,Automatic,4694,Diesel,145,47.1,2.0,Audi
69,6751,Q3,2020,30990,Semi-Auto,500,Petrol,150,40.4,1.5,Audi
70,8909,A3,2018,19499,Automatic,16897,Petrol,145,56.5,1.5,Audi
71,9533,A1,2016,14245,Manual,21516,Petrol,30,58.9,1.4,Audi
72,1049,A1,2017,19991,Manual,24001,Diesel,145,76.3,1.6,Audi
73,1398,A5,2016,14998,Semi-Auto,50903,Diesel,125,58.9,2.0,Audi
74,528,Q3,2017,20995,Semi-Auto,26494,Petrol,145,47.9,1.4,Audi
75,7272,Q3,2019,32990,Semi-Auto,5737,Petrol,145,32.1,2.0,Audi
76,1562,Q3,2019,26888,Manual,1500,Diesel,145,42.8,2.0,Audi
77,7291,A3,2015,11992,Manual,57841,Petrol,30,57.6,1.4,Audi
78,6651,Q3,2016,16995,Automatic,29985,Diesel,145,51.4,2.0,Audi
79,2534,A4,2015,12097,Semi-Auto,48268,Diesel,125,56.5,2.0,Audi
80,7911,A1,2016,8490,Manual,27000,Petrol,0,67.3,1.0,Audi
81,9504,A3,2017,24495,Automatic,33056,Petrol,145,43.5,2.0,Audi
82,5472,Q5,2019,45000,Automatic,4920,Hybrid,135,117.7,2.0,Audi
83,4326,A6,2018,19995,Semi-Auto,28850,Diesel,145,64.2,2.0,Audi
84,488,Q3,2017,23995,Semi-Auto,25667,Petrol,145,40.4,2.0,Audi
85,2141,A3,2020,21995,Manual,5000,Diesel,145,56.5,2.0,Audi
86,2673,A1,2016,10191,Manual,27878,Diesel,0,76.3,1.6,Audi
87,112,A6,2016,12000,Automatic,71311,Diesel,30,61.4,2.0,Audi
88,1736,A4,2017,17698,Manual,32512,Diesel,30,67.3,2.0,Audi
89,9944,Q2,2019,20500,Manual,6652,Diesel,145,49.6,1.6,Audi
90,6677,A6,2017,35991,Semi-Auto,25284,Petrol,325,29.4,4.0,Audi
91,816,A3,2017,15498,Semi-Auto,13542,Diesel,20,72.4,1.6,Audi
92,7068,A3,2014,13450,Semi-Auto,32126,Petrol,20,60.1,1.4,Audi
93,1624,A1,2016,11200,Manual,29819,Petrol,0,67.3,1.0,Audi
94,6676,A3,2017,22991,Semi-Auto,25624,Petrol,145,44.1,2.0,Audi
95,2940,A1,2016,10870,Manual,18679,Petrol,30,57.6,1.4,Audi
96,6627,Q3,2016,19700,Semi-Auto,27969,Diesel,160,50.4,2.0,Audi
97,8146,A4,2013,9999,Manual,53764,Diesel,125,60.1,2.0,Audi
98,9323,A3,2018,26490,Automatic,17411,Petrol,145,43.5,2.5,Audi
99,8255,A6,2016,13500,Manual,61104,Diesel,30,61.4,2.0,Audi
100,3809,Q2,2019,30000,Semi-Auto,3059,Petrol,145,33.2,2.0,Audi
101,9720,A6,2013,8399,Manual,83297,Diesel,145,56.5,2.0,Audi
102,2075,Q3,2016,19291,Manual,19122,Diesel,145,52.3,2.0,Audi
103,5164,Q2,2020,26139,Semi-Auto,6000,Petrol,145,42.2,1.5,Audi
104,6755,A3,2017,14790,Manual,16023,Petrol,145,60.1,1.4,Audi
105,3838,A6,2016,22850,Semi-Auto,35750,Diesel,160,51.4,3.0,Audi
106,3361,A4,2017,20500,Automatic,17920,Diesel,145,67.3,2.0,Audi
107,2090,Q3,2017,16250,Semi-Auto,38500,Petrol,145,47.9,1.4,Audi
108,9103,A1,2017,11773,Manual,20466,Petrol,0,67.3,1.0,Audi
109,6332,A4,2019,24900,Automatic,6647,Diesel,145,46.3,2.0,Audi
110,987,Q3,2015,19498,Manual,14919,Diesel,160,49.6,2.0,Audi
111,430,Q3,2016,19995,Semi-Auto,23205,Diesel,145,55.4,2.0,Audi
112,6904,Q3,2019,27699,Manual,1773,Petrol,145,39.8,1.5,Audi
113,7388,A6,2019,28990,Semi-Auto,7000,Diesel,150,47.9,2.0,Audi
114,1292,A1,2016,10510,Manual,31913,Petrol,0,67.3,1.0,Audi
115,474,Q2,2017,19995,Manual,25520,Petrol,145,50.4,1.4,Audi
116,5351,A6,2017,22602,Semi-Auto,19731,Diesel,145,56.5,2.0,Audi
117,10340,Q5,2020,36500,Automatic,1552,Diesel,150,38.2,2.0,Audi
118,6573,TT,2017,20275,Semi-Auto,29163,Petrol,160,43.5,2.0,Audi
119,10105,Q7,2016,30000,Automatic,50536,Diesel,205,47.9,3.0,Audi
120,6659,Q5,2014,21995,Semi-Auto,49875,Diesel,260,41.5,3.0,Audi
121,2102,A3,2015,8950,Manual,62710,Diesel,0,74.3,1.6,Audi
122,3014,A4,2017,18772,Manual,17503,Petrol,145,51.4,1.4,Audi
123,4672,Q5,2019,44033,Semi-Auto,3525,Petrol,145,32.1,2.0,Audi
124,590,A4,2016,19995,Semi-Auto,23626,Petrol,160,45.6,2.0,Audi
125,6104,A4,2019,24389,Automatic,7000,Diesel,145,48.7,2.0,Audi
126,9227,A3,2016,20490,Manual,55781,Petrol,200,39.8,2.0,Audi
127,5242,A4,2019,26950,Automatic,6000,Petrol,145,38.2,2.0,Audi
128,7261,A3,2019,23490,Semi-Auto,6564,Petrol,145,42.2,1.5,Audi
129,9883,A5,2010,7495,Manual,120000,Diesel,165,49.6,2.0,Audi
130,6524,A3,2019,21990,Automatic,4100,Diesel,145,52.3,1.6,Audi
131,4213,A1,2017,11500,Manual,39125,Petrol,150,67.3,1.0,Audi
132,998,Q5,2017,33495,Semi-Auto,37492,Petrol,150,34.0,3.0,Audi
133,1874,Q5,2016,22495,Semi-Auto,25721,Diesel,200,47.1,2.0,Audi
134,3566,Q2,2017,16999,Manual,14383,Petrol,145,52.3,1.4,Audi
135,6454,A3,2015,14995,Manual,24000,Petrol,20,60.1,1.4,Audi
136,7238,A4,2019,26990,Manual,3251,Petrol,145,38.7,2.0,Audi
137,9334,Q3,2020,32990,Manual,500,Petrol,145,40.9,1.5,Audi
138,5707,R8,2019,116000,Automatic,2369,Petrol,145,22.6,5.2,Audi
139,7497,A5,2011,7500,Manual,104800,Diesel,160,49.6,2.0,Audi
140,6979,A3,2015,14500,Manual,39522,Petrol,20,60.1,1.4,Audi
141,4538,A3,2016,17400,Manual,22740,Petrol,30,57.6,1.4,Audi
142,3134,A1,2016,14995,Semi-Auto,22789,Petrol,30,58.9,1.4,Audi
143,5159,RS3,2019,47990,Semi-Auto,3584,Petrol,145,29.7,2.5,Audi
144,4627,TT,2015,16000,Manual,39700,Diesel,30,65.7,2.0,Audi
145,9301,A5,2016,21490,Automatic,11998,Diesel,160,51.4,2.0,Audi
146,7893,Q3,2017,16000,Manual,41381,Petrol,125,51.4,1.4,Audi
147,10502,Q3,2019,27950,Manual,3000,Diesel,145,40.9,1.5,Audi
148,9199,Q3,2014,12195,Automatic,53540,Diesel,205,47.9,2.0,Audi
149,6246,Q5,2019,36990,Semi-Auto,6502,Diesel,145,38.2,2.0,Audi
150,8558,A3,2014,9895,Manual,94410,Petrol,30,58.9,1.4,Audi
151,766,A4,2017,19995,Semi-Auto,29885,Diesel,30,65.7,2.0,Audi
152,10288,A6,2017,18100,Automatic,82221,Diesel,145,54.3,3.0,Audi
153,4852,Q2,2017,21990,Semi-Auto,28943,Diesel,145,57.7,2.0,Audi
154,8670,A3,2015,8395,Automatic,74369,Diesel,30,62.8,2.0,Audi
155,2370,A4,2019,24495,Manual,5000,Petrol,145,39.2,2.0,Audi
156,6618,A3,2016,12000,Manual,29954,Petrol,20,60.1,1.0,Audi
157,10571,A3,2019,22500,Automatic,14924,Petrol,145,42.2,1.5,Audi
158,9284,A6,2015,12895,Automatic,107390,Diesel,30,64.2,2.0,Audi
159,8441,A3,2016,13495,Manual,72643,Diesel,20,65.7,2.0,Audi
160,8675,Q3,2019,29950,Manual,5310,Petrol,145,39.8,1.5,Audi
161,4769,Q3,2016,19990,Semi-Auto,39775,Diesel,160,50.4,2.0,Audi
162,5568,Q5,2019,42450,Semi-Auto,8867,Diesel,145,36.2,2.0,Audi
163,7620,Q5,2019,33850,Automatic,11254,Diesel,145,38.2,2.0,Audi
164,4048,Q7,2019,66990,Automatic,6000,Diesel,145,33.2,3.0,Audi
165,566,A4,2016,13985,Manual,55697,Diesel,20,70.6,2.0,Audi
166,9293,Q2,2019,20990,Manual,600,Diesel,145,49.6,1.6,Audi
167,1755,A6,2016,21880,Semi-Auto,15559,Diesel,150,56.5,2.0,Audi
168,10308,Q3,2019,31950,Automatic,593,Petrol,145,31.7,2.0,Audi
169,1558,Q2,2018,21790,Semi-Auto,10200,Petrol,145,52.3,1.4,Audi
170,4925,R8,2019,125000,Semi-Auto,500,Petrol,145,21.4,5.2,Audi
171,5290,Q7,2017,45790,Automatic,38516,Diesel,300,39.2,4.0,Audi
172,8707,A1,2017,11000,Manual,32378,Petrol,0,67.3,1.0,Audi
173,7886,A6,2017,21000,Semi-Auto,44000,Diesel,145,61.4,2.0,Audi
174,3612,Q3,2017,19490,Semi-Auto,51483,Diesel,160,51.4,2.0,Audi
175,6004,A4,2019,26500,Semi-Auto,6497,Petrol,145,38.7,2.0,Audi
176,4780,A3,2019,24990,Manual,6000,Petrol,145,43.5,1.5,Audi
177,10114,A4,2020,26890,Automatic,1555,Petrol,145,38.7,2.0,Audi
178,6044,A5,2019,27490,Semi-Auto,10372,Petrol,145,39.8,2.0,Audi
179,6557,A6,2018,24475,Semi-Auto,22929,Diesel,145,61.4,2.0,Audi
180,6844,Q2,2019,29950,Semi-Auto,4750,Petrol,145,33.2,2.0,Audi
181,7626,Q3,2020,32444,Automatic,1500,Petrol,145,31.4,0.0,Audi
182,2513,A4,2016,15500,Manual,24625,Diesel,20,70.6,2.0,Audi
183,3666,Q5,2019,35500,Semi-Auto,3322,Diesel,150,38.2,2.0,Audi
184,8520,A4,2019,24650,Manual,3750,Petrol,145,38.2,2.0,Audi
185,10651,A3,2011,9695,Manual,32300,Petrol,235,39.2,2.0,Audi
186,3742,A1,2016,11850,Manual,32650,Petrol,0,67.3,1.0,Audi
187,3121,A3,2019,21374,Manual,7188,Diesel,145,51.4,1.6,Audi
188,7582,A6,2016,19444,Automatic,52000,Diesel,145,56.5,2.0,Audi
189,10325,A3,2019,20000,Manual,4986,Petrol,145,47.9,1.0,Audi
190,1776,A3,2017,15495,Manual,49471,Diesel,145,65.7,2.0,Audi
191,9460,A3,2016,14345,Manual,33719,Petrol,30,58.9,1.4,Audi
192,7837,Q3,2017,19300,Manual,16051,Diesel,150,52.3,0.0,Audi
193,4541,Q3,2019,25500,Automatic,5644,Diesel,145,48.7,2.0,Audi
194,3439,A4,2018,21991,Manual,12956,Petrol,145,53.3,1.4,Audi
195,7080,Q2,2020,30995,Semi-Auto,2142,Diesel,145,44.8,2.0,Audi
196,4885,A1,2019,22500,Semi-Auto,3869,Petrol,150,44.1,1.5,Audi
197,1499,A4,2018,19222,Manual,20356,Petrol,150,51.4,1.4,Audi
198,7173,A4,2017,28900,Semi-Auto,44571,Petrol,240,37.7,3.0,Audi
199,9731,A4,2007,5495,Manual,89000,Diesel,220,43.4,2.0,Audi
200,342,Q3,2014,14998,Semi-Auto,33842,Diesel,200,47.9,2.0,Audi
201,300,A6,2018,27985,Semi-Auto,1790,Diesel,145,50.4,2.0,Audi
202,6348,Q5,2018,33795,Semi-Auto,5092,Petrol,145,40.4,2.0,Audi
203,7378,A4,2019,30990,Automatic,8000,Diesel,145,44.8,2.0,Audi
204,7384,Q3,2018,23990,Semi-Auto,21700,Petrol,145,40.4,2.0,Audi
205,5978,Q2,2017,22000,Semi-Auto,38270,Diesel,125,58.9,2.0,Audi
206,6807,Q5,2019,34990,Semi-Auto,60,Diesel,145,38.2,2.0,Audi
207,6208,Q2,2019,27450,Semi-Auto,1427,Petrol,145,40.9,1.5,Audi
208,4777,Q5,2019,33490,Automatic,5000,Diesel,145,38.2,2.0,Audi
209,10632,A1,2010,9990,Automatic,38000,Petrol,125,53.3,1.4,Audi
210,7133,Q7,2019,45995,Automatic,7500,Diesel,145,33.6,3.0,Audi
211,4315,A5,2019,26995,Semi-Auto,8150,Petrol,145,39.8,2.0,Audi
212,7542,Q3,2019,31888,Manual,2001,Petrol,145,40.4,0.0,Audi
213,8494,Q3,2019,23880,Automatic,8968,Diesel,145,48.7,2.0,Audi
214,3684,A1,2015,10170,Manual,26549,Petrol,0,67.3,1.0,Audi
215,4897,Q2,2019,34990,Semi-Auto,853,Petrol,145,41.5,1.5,Audi
216,3865,A6,2019,30500,Automatic,7200,Diesel,145,47.9,2.0,Audi
217,7583,A3,2017,17888,Manual,24000,Petrol,145,49.6,2.0,Audi
218,7282,Q2,2019,20600,Manual,3000,Petrol,145,47.1,1.0,Audi
219,6684,A3,2017,18050,Semi-Auto,33268,Petrol,30,56.5,1.4,Audi
220,575,A6,2017,22995,Semi-Auto,24336,Diesel,145,61.4,2.0,Audi
221,5976,A1,2015,12995,Semi-Auto,47887,Petrol,30,56.5,1.4,Audi
222,2787,A3,2014,13995,Manual,22800,Petrol,30,55.4,1.4,Audi
223,1975,Q5,2016,18890,Manual,42555,Diesel,205,47.9,2.0,Audi
